id;name;occurence_mode;one_off_schedule;time_from_schedule;time_to_schedule;time_next_schedule;document;document_content_type;description
1;Computer compressing customized;CERTAINDATE;2020-09-01T22:55:26;2020-09-01T05:41:07;2020-09-01T14:47:25;2020-09-01T06:29:10;../fake-data/blob/hipster.png;image/png;innovative open architecture
2;payment Solomon Islands;ONEOFF;2020-09-01T12:19:41;2020-09-01T17:38:01;2020-09-01T10:13:45;2020-09-01T09:15:25;../fake-data/blob/hipster.png;image/png;intermediate
3;Tuna Investment Account Skyway;RECURRING;2020-09-01T05:48:47;2020-09-01T05:34:48;2020-09-01T09:29:46;2020-09-01T02:35:57;../fake-data/blob/hipster.png;image/png;24/7 channels
4;definition interactive;CERTAINDATE;2020-09-01T05:30:56;2020-09-01T19:59:20;2020-09-01T05:46:03;2020-09-02T00:12:39;../fake-data/blob/hipster.png;image/png;mesh XML
5;Avon Robust Refined;CANCEL;2020-09-01T05:06:57;2020-09-01T15:12:46;2020-09-01T08:50:06;2020-09-01T13:26:38;../fake-data/blob/hipster.png;image/png;Tasty
6;Infrastructure;CERTAINDATE;2020-09-01T02:11:59;2020-09-01T09:13:57;2020-09-01T01:58:54;2020-09-01T15:33:58;../fake-data/blob/hipster.png;image/png;seize Illinois Product
7;Rwanda Franc teal;CERTAINDATE;2020-09-01T12:19:05;2020-09-01T04:24:03;2020-09-01T23:48:55;2020-09-01T18:39:38;../fake-data/blob/hipster.png;image/png;sexy
8;Mali Intelligent Metal Soap Movies;ONEOFF;2020-09-01T11:28:38;2020-09-01T12:00:22;2020-09-01T09:36:05;2020-09-01T01:43:05;../fake-data/blob/hipster.png;image/png;e-services Rhode Island Senior
9;grey Wyoming Pants;CERTAINDATE;2020-09-01T04:46:52;2020-09-01T15:51:28;2020-09-01T17:13:50;2020-09-01T10:22:53;../fake-data/blob/hipster.png;image/png;Generic Plastic Chips
10;Berkshire violet Harbor;CERTAINDATE;2020-09-01T16:09:12;2020-09-01T04:26:05;2020-09-01T13:03:49;2020-09-01T07:01:37;../fake-data/blob/hipster.png;image/png;Handmade Concrete Sausages
